Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
9,201.85,2,20.6,43,1458.93619,0,0.00952381,0,0,Aug,3,2,3,1,New_Visitor,FALSE,FALSE
7,253.4,0,0,12,832.7,0,0.004761905,0,0,June,2,5,3,5,New_Visitor,FALSE,FALSE
7,131.08,1,124.9,159,4362.009752,0.001204819,0.008667383,6.047203519,0,Jul,2,10,2,2,Returning_Visitor,FALSE,FALSE
7,95.17,1,11.1,68,824.1573062,0,0.006666667,37.68626909,0,June,2,2,3,3,Returning_Visitor,FALSE,FALSE
14,325.48,6,22.6,24,359.63,0.024324324,0.042342342,0,0,Sep,1,1,2,4,Returning_Visitor,TRUE,FALSE
6,174.4571429,2,24.2,107,1688.2494,0,0.016407828,2.385969641,0,June,2,4,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,170.5333333,0,0,37.96905976,0,Aug,2,5,1,5,New_Visitor,FALSE,TRUE
6,285.9,0,0,13,291.3,0,0.0125,53.11442085,0,Nov,1,1,4,2,New_Visitor,FALSE,TRUE
0,0,0,0,13,427.3,0,0.038461538,0,0,Sep,2,5,1,1,Returning_Visitor,FALSE,FALSE
5,247.1,0,0,8,1188.2,0,0.030769231,0,0,Oct,1,8,8,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,251.8,0,0.025,0,0,Oct,1,1,1,2,New_Visitor,FALSE,FALSE
4,103.6,1,27.2,26,2609,0,0.002380952,47.12454606,0,Nov,2,6,1,2,Returning_Visitor,TRUE,TRUE
7,141.8388889,0,0,33,486.5600582,0.006666667,0.028784722,11.84059922,0,June,2,2,3,1,Returning_Visitor,FALSE,FALSE
1,45.4,0,0,41,1227.713333,0.019512195,0.041056911,0,0,Oct,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,650.1666667,0.036363636,0.060606061,0,0,Oct,1,1,6,1,Returning_Visitor,FALSE,FALSE
2,30.2,0,0,32,776.8833333,0,0.003125,0,0,Jul,2,4,1,5,New_Visitor,FALSE,FALSE
1,90.6,0,0,11,424.5957143,0.053333333,0.055833333,0,0,Aug,3,2,8,1,Returning_Visitor,FALSE,FALSE
10,196.25,1,46.4,271,12292.46381,0.005995204,0.02001083,0.038034542,0,Jul,2,2,2,3,Returning_Visitor,TRUE,FALSE
5,163,0,0,5,25,0.02,0.04,0,0,Oct,2,2,2,20,New_Visitor,TRUE,FALSE
0,0,0,0,6,231.8,0.066666667,0.066666667,0,0,Oct,2,5,3,2,Returning_Visitor,FALSE,FALSE
2,9,0,0,26,623.0266667,0,0.009047619,36.0824516,0,Nov,2,2,4,20,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1183.2,0.033333333,0.066666667,0,0,Oct,2,6,2,1,Returning_Visitor,FALSE,FALSE
5,38.57777778,2,9,7,584.3777778,0,0.064351852,0,0,Jul,1,1,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,4,39.8,0,0.05,0,0,Aug,1,1,1,3,New_Visitor,FALSE,FALSE
3,133.8666667,0,0,7,128,0,0.026666667,0,0,Oct,1,2,1,1,Returning_Visitor,TRUE,FALSE
3,69.1,0,0,24,368.6,0,0.008888889,0,0,Sep,2,2,1,2,New_Visitor,FALSE,FALSE
3,142.1333333,2,141.2,8,361.2333333,0.008333333,0.038888889,0,0,Oct,1,1,1,2,Returning_Visitor,TRUE,FALSE
4,206.6,0,0,6,282.8,0.025,0.025,0,0,Sep,3,2,3,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Nov,3,2,1,11,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,2,1,20,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,June,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,3,62.8,90,2167.900476,0.002898551,0.013297101,0,0,Aug,1,1,3,4,Returning_Visitor,FALSE,FALSE
2,39.4,0,0,40,673.65,0,0.014634146,23.76322043,0,Nov,4,2,6,3,Returning_Visitor,TRUE,TRUE
0,0,0,0,67,771.4133333,0,0.004205128,0,0,Aug,1,8,9,1,Returning_Visitor,FALSE,FALSE
2,95.8,0,0,83,4052.358631,0.000340136,0.008176477,19.61979883,0,Sep,2,2,4,3,Returning_Visitor,FALSE,TRUE
15,182.7,0,0,60,632.25,0.005882353,0.011960784,0,0,Oct,4,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,463.4,0,0.022222222,0,0,Oct,3,2,1,2,New_Visitor,FALSE,FALSE
11,289.6833333,0,0,41,678.4833333,0,0.032173913,13.57270341,0,Oct,4,1,3,1,Returning_Visitor,FALSE,TRUE
1,20.2,0,0,13,227.6,0,0,42.29306752,0,Jul,2,2,3,3,New_Visitor,FALSE,FALSE
0,0,0,0,22,343.0333333,0,0.027272727,0,0,June,2,5,6,1,Returning_Visitor,FALSE,FALSE
1,0,0,0,6,261.6666667,0.071428571,0.125714286,0,0,June,3,2,2,4,Returning_Visitor,FALSE,FALSE
13,245.4,0,0,61,3773.3,0.005714286,0.025021645,22.37276151,0,Oct,2,2,9,3,Returning_Visitor,FALSE,TRUE
15,266.25,0,0,172,4098.699853,0.003314917,0.016214742,2.90865324,0,Nov,2,2,7,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,724.2,0.022222222,0.03968254,5.091914289,0,Nov,1,1,3,1,Returning_Visitor,FALSE,TRUE
6,75.5,0,0,3,66.05,0,0.022222222,21.47142017,0,Aug,2,2,7,6,Returning_Visitor,FALSE,TRUE
1,180.4,1,36.2,28,1907.08,0.006666667,0.015555556,19.24405095,0,Sep,2,2,1,1,Returning_Visitor,TRUE,TRUE
4,97.2,2,16,26,690.5666667,0,0.003703704,59.33984611,0,Jul,2,4,8,2,Returning_Visitor,FALSE,TRUE
1,51.4,0,0,7,562.3,0,0,36.65735004,0,Jul,1,1,6,2,New_Visitor,TRUE,TRUE
2,107.4,2,96.7,32,833.325,0.024509804,0.035882353,0,0,Jul,3,2,4,1,Returning_Visitor,FALSE,TRUE
4,102.2,0,0,3,72,0,0.016666667,0,0,Jul,2,2,6,5,New_Visitor,FALSE,FALSE
8,580.2,1,145.6,48,2734.966667,0,0.007692308,27.60143046,0,Oct,2,2,4,5,New_Visitor,FALSE,TRUE
10,471.06,0,0,171,5830.91,0.001098901,0.005494505,0,0,Oct,2,10,4,2,Returning_Visitor,FALSE,TRUE
3,146.5,3,277.1333333,31,700.0466667,0,0.01712963,0,0,Aug,1,1,5,2,Returning_Visitor,TRUE,FALSE
6,378.4666667,0,0,13,950.6666667,0.022222222,0.054444444,0,0,Oct,1,1,1,3,Returning_Visitor,FALSE,FALSE
3,173.8,2,124.8,7,411.6,0,0.017272727,0,0,Aug,1,1,1,4,Returning_Visitor,TRUE,FALSE
4,115.8,0,0,46,2557.35,0,0.01372549,44.35848718,0,Oct,2,2,1,2,Returning_Visitor,FALSE,TRUE

0,0,0,0,12,410.25,0,0.016666667,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE,FALSE
1,6.5,0,0,10,511.25,0,0.007407407,7.848538778,0,Dec,2,5,3,8,New_Visitor,TRUE,TRUE
2,21,1,802.5,48,2073.916667,0.003921569,0.02627451,0,0,Nov,2,2,3,2,Returning_Visitor,TRUE,FALSE
2,83,2,40,241,5194.79857,0.003101093,0.014304381,0.468406088,0,Dec,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,24,610.6333333,0,0.020833333,0,0,Nov,1,1,3,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,2,9,0,0.1,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,58,2174.708333,0.004022989,0.015229885,0,0,Nov,1,2,1,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,4,1,1,10,Returning_Visitor,TRUE,FALSE
1,32.3,1,26.5,51,1068.357692,0.01372549,0.043697479,7.570470024,0,Nov,2,10,2,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,15,541.0625,0.052380952,0.093809524,0,0,Dec,2,4,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,562.0071429,0,0.00125,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,390.5,0.038461538,0.053846154,0,0,Dec,2,2,1,13,Returning_Visitor,FALSE,FALSE
9,441.85,0,0,122,2577.449603,0,0.010463332,75.27712913,0,Nov,1,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,2,116,11,419.75,0,0.038461538,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
8,106.8333333,1,96,16,373.4583333,0,0.028333333,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,202.75,0,0.025,0,0,Nov,3,2,1,13,Returning_Visitor,FALSE,FALSE
1,49.5,0,0,65,3804.2875,0,0.0203125,0,0,Nov,2,5,3,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,20,655.0416667,0,0.023928571,0,0,Dec,1,1,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,462.2678571,0,0.004347826,0,0,Nov,1,1,1,10,Returning_Visitor,TRUE,FALSE
7,97.33333333,2,447.5,16,967.625,0,0.012727273,0,0,Dec,1,1,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,219,0,0.04,0,0,Nov,1,8,7,6,Returning_Visitor,FALSE,FALSE
2,38.5,0,0,28,770.3095238,0.026666667,0.035396825,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
6,539.5,0,0,11,602.5833333,0.008888889,0.02,0,0,Dec,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,475.025,0,0.000446429,0,0,Nov,1,1,6,10,New_Visitor,FALSE,FALSE
3,21,0,0,19,750.2083333,0,0.019047619,60.51988521,0,Nov,2,2,2,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,36,5300.291667,0,0.005714286,0,0,Nov,2,4,6,2,Returning_Visitor,FALSE,FALSE
9,188.5322344,3,197.4166667,76,1758.912393,0.004901961,0.016913178,22.86584543,0,Dec,3,2,2,6,Returning_Visitor,FALSE,FALSE
5,179.5,1,43.5,12,482.75,0,0.007692308,0,0,Dec,2,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,147.5,0,0.04,0,0,Dec,2,2,2,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,279.547619,0,0.019047619,0,0,Nov,3,2,1,3,Returning_Visitor,FALSE,FALSE
4,64.66666667,0,0,38,1445.666667,0,0.005263158,52.11335786,0,Nov,2,2,1,2,New_Visitor,FALSE,TRUE
4,77.66666667,0,0,8,159.75,0.016666667,0.038888889,0,0,Nov,3,2,3,2,Returning_Visitor,FALSE,TRUE
1,11,0,0,23,835.5833333,0.009090909,0.022727273,0,0,Nov,2,2,1,10,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,99.5,0,0.04,0,0,Nov,1,1,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,720.5,0.16,0.18,0,0,Nov,3,2,2,13,Returning_Visitor,FALSE,FALSE
2,36.5,0,0,32,770.375,0,0.01372549,0,0,Dec,2,2,3,2,Returning_Visitor,FALSE,FALSE
1,43.5,3,230.1666667,93,3773.715179,0.004123711,0.018162523,17.77043431,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
2,33,0,0,91,2023.75,0.004731183,0.018752216,0,0,Nov,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,0,0,0.2,0.2,0,0,Nov,1,1,9,2,Returning_Visitor,FALSE,FALSE
7,286.8333333,0,0,49,1493.695238,0.005390836,0.015750591,0,0,Dec,3,2,3,10,Returning_Visitor,TRUE,FALSE
5,56.6,0,0,55,1058.338095,0,0.007142857,37.21183634,0,Nov,2,2,1,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,5,60,0,0.053333333,0,0,Dec,2,2,1,20,Returning_Visitor,FALSE,FALSE
3,82.5,1,56.5,54,2295,0.007272727,0.014545455,0,0,Dec,1,1,1,10,Returning_Visitor,TRUE,FALSE
0,0,0,0,9,198.1333333,0,0.053333333,0,0,Nov,1,1,9,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,35,729.2916667,0,0.009387755,0,0,Dec,2,2,3,2,Returning_Visitor,FALSE,FALSE
4,49.5,0,0,4,180.5,0.028571429,0.028571429,0,0,Dec,3,2,6,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,38,1185.986275,0,0.009501385,0,0,Nov,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,70,1473.701515,0.008695652,0.032370528,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,FALSE
1,43.5,0,0,25,1055.583333,0.007407407,0.022839506,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,29,1211.166667,0,0.006896552,0,0,Nov,2,2,4,2,New_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,13,New_Visitor,FALSE,FALSE
0,0,0,0,6,82.5,0,0.033333333,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
11,524.75,3,258.625,197,6309.427034,0.006113821,0.011878229,3.364060957,0,Nov,2,10,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,8,163.5,0.1,0.125,0,0,Nov,3,2,1,10,Returning_Visitor,FALSE,FALSE
1,26.5,0,0,71,1260.441758,0.001449275,0.008792271,3.74015068,0,Nov,2,2,1,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,3,2,4,2,Returning_Visitor,FALSE,FALSE
1,23,0,0,16,281.75,0,0.014285714,0,0,Nov,8,2,1,2,Returning_Visitor,FALSE,FALSE
5,3398.75,6,2549.375,449,63973.52223,0.000764406,0.02770134,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,372.0833333,0,0.04,0,0,Nov,2,2,1,2,New_Visitor,TRUE,FALSE
3,65.92857143,0,0,17,557.6869048,0,0.009803922,25.27760515,0,Dec,2,2,2,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,0,0.2,0.2,0,0,Dec,3,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,170.5,0,0.018181818,0,0,Nov,1,8,1,11,Returning_Visitor,TRUE,FALSE
3,15,0,0,102,4021.172222,0,0.01,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,81.08333333,0.04,0.05,0,0,Dec,3,2,1,2,New_Visitor,FALSE,FALSE
2,83,0,0,15,630,0,0.003333333,42.23025869,0,Dec,4,1,3,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,2,1,1,Returning_Visitor,FALSE,FALSE
1,12,0,0,63,2138.383333,0,0.012282691,0,0,Dec,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,143,4977.850893,0.008732394,0.038977353,0,0,Nov,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,26,1312.333333,0.036538462,0.054230769,0,0,Nov,3,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,61.75,0,0.066666667,0,0,Nov,2,10,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1131.208333,0,0.015384615,94.19490268,0,Nov,3,2,3,11,Returning_Visitor,TRUE,TRUE
0,0,0,0,2,17,0,0.1,0,0,Dec,2,2,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,57.5,0,0.1,0,0,Dec,1,1,4,2,Returning_Visitor,FALSE,FALSE
4,67.5,0,0,25,475.65,0.014285714,0.042857143,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE,FALSE
4,75.75,0,0,71,3534.298611,0.00890411,0.023832104,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,1093.083333,0.011111111,0.011481481,0,0,Nov,3,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,516.75,0.02,0.08,0,0,Dec,4,2,3,1,Returning_Visitor,FALSE,FALSE
2,90.17857143,2,88.5,19,1214.307692,0.022727273,0.031677489,15.52703405,0,Nov,1,1,4,2,Returning_Visitor,FALSE,TRUE
3,123.5,1,0,22,759.5833333,0,0.0096,46.6785275,0,Nov,1,1,3,2,Returning_Visitor,FALSE,TRUE
8,825,1,55.5,148,8629.783691,0.0095,0.019155126,1.60801626,0,Nov,1,1,2,2,Returning_Visitor,FALSE,FALSE
8,935.1,1,21,172,10524.35936,0.005046115,0.01576463,2.924161864,0,Nov,3,2,1,3,Returning_Visitor,FALSE,TRUE
2,1145.25,3,91.30357143,46,2756.19246,0,0.01765792,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE,FALSE
1,35.75,0,0,7,1173,0,0.028571429,76.7809411,0,Nov,2,4,9,2,Returning_Visitor,FALSE,FALSE
6,65,0,0,4,40,0,0.014285714,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE
2,50.5,0,0,29,2147.375,0,0.006896552,0,0,Dec,2,2,7,2,New_Visitor,FALSE,FALSE
0,0,0,0,20,1175.488095,0,0.021052632,0,0,Dec,3,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,404.5,0,0.05,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,264.75,0,0.1,0,0,Nov,1,1,9,3,Returning_Visitor,FALSE,FALSE
7,169.5,0,0,50,1557.916667,0.003773585,0.013207547,0,0,Dec,1,1,3,2,Returning_Visitor,FALSE,FALSE
1,49.5,0,0,14,207.5416667,0,0.015384615,0,0,Dec,2,4,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,8,135.25,0,0.05,0,0,Nov,2,2,9,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,493.75,0,0.05,0,0,Nov,2,2,4,20,Other,FALSE,FALSE
2,256.5,0,0,10,117.25,0.110714286,0.130952381,0,0,Nov,2,2,7,11,Returning_Visitor,TRUE,TRUE
1,19,0,0,10,349.8333333,0,0.00625,0,0,Dec,3,2,8,8,New_Visitor,FALSE,FALSE
0,0,0,0,35,1579.333333,0.005714286,0.02,0,0,Nov,2,2,1,1,New_Visitor,FALSE,FALSE
0,0,1,6,71,1375.264286,0.005633803,0.017425336,0,0,Dec,2,2,3,2,New_Visitor,FALSE,TRUE
4,141.5,0,0,3,59.5,0,0.025,0,0,Dec,1,1,2,8,New_Visitor,FALSE,FALSE
1,90,0,0,37,592.8375,0.009817814,0.051919272,0,0,Nov,2,2,1,11,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,499,0,0.018181818,0,0,Dec,4,1,1,2,Returning_Visitor,FALSE,FALSE
2,28,0,0,27,434.5,0,0.006896552,0,0,Nov,8,2,7,2,New_Visitor,FALSE,TRUE
0,0,0,0,23,1375.916667,0.039130435,0.093478261,0,0,Nov,3,2,8,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,87,0,0.028571429,0,0,Dec,8,13,9,20,Other,FALSE,FALSE
5,150,0,0,135,4966.520661,0.003649635,0.011277952,0,0,Nov,1,1,2,10,Returning_Visitor,TRUE,FALSE
6,416,2,121,94,2881.684524,0.006122449,0.025340136,0,0,Nov,3,2,2,13,Returning_Visitor,FALSE,FALSE
1,20,0,0,21,442,0.008695652,0.020289855,42.28127491,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
10,247.15,3,788,111,2556.373335,0.000423729,0.00814597,2.514977953,0,Nov,2,2,1,3,Returning_Visitor,FALSE,FALSE
9,333.8674242,4,121.625,29,1406.917424,0.017567568,0.021302211,20.74810067,0,Nov,3,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,26,955.375,0,0.008333333,0,0,Dec,2,2,7,2,New_Visitor,TRUE,FALSE
9,192.9204545,2,114.5,60,1394.236526,0,0.003030303,63.64653548,0,Dec,2,2,7,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,22,704,0,0.004761905,0,0,Nov,2,2,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,197,0.028571429,0.042857143,0,0,Dec,3,2,9,2,Returning_Visitor,FALSE,FALSE
12,171.2916667,2,55.5,213,7443.407447,0.003958333,0.014633794,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,455,0,0.022222222,25.7526389,0,Dec,1,1,2,2,New_Visitor,FALSE,TRUE
1,0,2,57.5,63,1980.238095,0,0.015025253,0,0,Nov,3,2,1,2,New_Visitor,TRUE,FALSE
5,46.5,0,0,3,26,0,0.028571429,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
1,81,0,0,15,914.5,0,0.014285714,56.5802171,0,Nov,2,2,2,11,Returning_Visitor,TRUE,TRUE
0,0,0,0,20,804.25,0.015,0.028333333,0,0,Nov,3,2,8,1,Returning_Visitor,FALSE,FALSE
